Item,Feature (CN),Feature (EN),Coder 1,Coder 2,Agreed?
1,知识图谱点击,Knowledge Graph Click,Process (FP),Process (FP),True
2,预设问答,Preset Q&A,Task (FT),Task (FT),True
3,来自 mooccube,From MOOCCube (Knowledge Base),Task (FT),Task (FT),True
4,来自图灵机器人,From Turing Bot (General Chatbot),Self-Regulation (FR),Self (FS),False
5,来自 baidu,From Baidu (Search Engine),Task (FT),Task (FT),True
6,来自 baike,From Baike (Encyclopedia),Task (FT),Task (FT),True
7,作诗,Poetry Composition,Other / Not Applicable,Other / Not Applicable,True
8,来自 Faq,From FAQ (Platform Help),Other / Not Applicable,Other / Not Applicable,True
9,来自 Aminer,From Aminer (Academic Search),Task (FT),Process (FP),False
10,助教回答,TA Answer Browser,Other / Not Applicable,Task (FT),False
11,飘窗回答,Pop-up Reflection Question,Process (FP),Process (FP),True
12,cannot_answer,System Cannot Answer,Other / Not Applicable,Other / Not Applicable,True
13,问助教,Ask TA (Human),Other / Not Applicable,Other / Not Applicable,True
14,加减乘除,Arithmetic Calculator,Other / Not Applicable,Other / Not Applicable,True
15,脏问题,Inappropriate Input (Filtered),Other / Not Applicable,Other / Not Applicable,True
16,来自课程信息,From Course Information,Other / Not Applicable,Other / Not Applicable,True
