Section,Variable,Low mean,Low SD,Medium mean,Medium SD,High mean,High SD,beta,SE,t,p,p_label,significance
Sample & Performance,Problem Accuracy %,50.77,17.23,76.03,4.65,93.85,5.49,21.55,0.105,205.89,0.0,< 1e-300,***
Sample & Performance,Problems Attempted,63.74,335.95,106.5,170.71,98.48,159.85,17.4,2.268,7.67,1.7739021658818117e-14,1.77e-14,***
AI Usage Quantity,AI Frequency,4.91,15.39,5.55,17.41,5.25,23.9,0.17,0.184,0.9,0.3657407703147417,3.66e-01,ns
AI Usage Quantity,AI Frequency (Mdn),2.0,,2.0,,2.0,,,,,,,
AI Usage Character,Process Feedback %,70.65,40.24,68.78,40.11,55.07,45.63,-7.78,0.404,-19.27,8.303023862853068e-82,8.30e-82,***
AI Usage Character,Task Feedback %,20.24,33.58,22.2,34.32,30.82,40.51,5.29,0.348,15.21,7.186008370489557e-52,7.19e-52,***
AI Usage Character,Self-Regulation %,5.37,18.92,5.53,19.02,8.75,24.6,1.69,0.201,8.39,5.2540263106703975e-17,5.25e-17,***
AI Usage Character,Self Feedback %,2.86,12.49,2.7,12.14,4.55,16.38,0.84,0.132,6.37,1.883103922955114e-10,1.88e-10,***
AI Usage Character,Effective Feedback %,76.01,36.56,74.31,36.79,63.82,42.98,-6.09,0.373,-16.33,1.6955857623588522e-59,1.70e-59,***
Usage Patterns,Predominantly Process,64.67,47.81,62.03,48.54,49.8,50.0,-7.43,0.468,-15.88,2.450379001232711e-56,2.45e-56,***
Usage Patterns,Predominantly Task,12.48,33.05,13.56,34.23,23.16,42.19,5.33,0.352,15.15,1.7358747633972546e-51,1.74e-51,***
Usage Patterns,Mixed / Balanced,22.85,41.99,24.42,42.96,27.04,44.42,2.09,0.413,5.07,4.0607601465921815e-07,4.06e-07,***
